,identifier,status_of_existing_account,duration_in_month,credit_his,purpose,credit_amt,saving_account,preset_emp,installment_rate,personal_status_and_sex,guarantors
0,0,A11,6,A34,A43,1169,A65,A75,4,A93,A101
1,1,A12,48,A32,A43,5951,A61,A73,2,A92,A101
2,2,A14,12,A34,A46,2096,A61,A74,2,A93,A101
3,3,A11,42,A32,A42,7882,A61,A74,2,A93,A103
4,4,A11,24,A33,A40,4870,A61,A73,3,A93,A101
5,5,A14,36,A32,A46,9055,A65,A73,2,A93,A101
6,6,A14,24,A32,A42,2835,A63,A75,3,A93,A101
7,7,A12,36,A32,A41,6948,A61,A73,2,A93,A101
8,8,A14,12,A32,A43,3059,A64,A74,2,A91,A101
9,9,A12,30,A34,A40,5234,A61,A71,4,A94,A101
10,10,A12,12,A32,A40,1295,A61,A72,3,A92,A101
11,11,A11,48,A32,A49,4308,A61,A72,3,A92,A101
12,12,A12,12,A32,A43,1567,A61,A73,1,A92,A101
13,13,A11,24,A34,A40,1199,A61,A75,4,A93,A101
14,14,A11,15,A32,A40,1403,A61,A73,2,A92,A101
15,15,A11,24,A32,A43,1282,A62,A73,4,A92,A101
16,16,A14,24,A34,A43,2424,A65,A75,4,A93,A101
17,17,A11,30,A30,A49,8072,A65,A72,2,A93,A101
18,18,A12,24,A32,A41,12579,A61,A75,4,A92,A101
19,19,A14,24,A32,A43,3430,A63,A75,3,A93,A101
20,20,A14,9,A34,A40,2134,A61,A73,4,A93,A101
21,21,A11,6,A32,A43,2647,A63,A73,2,A93,A101
22,22,A11,10,A34,A40,2241,A61,A72,1,A93,A101
23,23,A12,12,A34,A41,1804,A62,A72,3,A93,A101
24,24,A14,10,A34,A42,2069,A65,A73,2,A94,A101
25,25,A11,6,A32,A42,1374,A61,A73,1,A93,A101
26,26,A14,6,A30,A43,426,A61,A75,4,A94,A101
27,27,A13,12,A31,A43,409,A64,A73,3,A92,A101
28,28,A12,7,A32,A43,2415,A61,A73,3,A93,A103
29,29,A11,60,A33,A49,6836,A61,A75,3,A93,A101
30,30,A12,18,A32,A49,1913,A64,A72,3,A94,A101
31,31,A11,24,A32,A42,4020,A61,A73,2,A93,A101
32,32,A12,18,A32,A40,5866,A62,A73,2,A93,A101
33,33,A14,12,A34,A49,1264,A65,A75,4,A93,A101
34,34,A13,12,A32,A42,1474,A61,A72,4,A92,A101
35,35,A12,45,A34,A43,4746,A61,A72,4,A93,A101
36,36,A14,48,A34,A46,6110,A61,A73,1,A93,A101
37,37,A13,18,A32,A43,2100,A61,A73,4,A93,A102
38,38,A13,10,A32,A44,1225,A61,A73,2,A93,A101
39,39,A12,9,A32,A43,458,A61,A73,4,A93,A101
40,40,A14,30,A32,A43,2333,A63,A75,4,A93,A101
41,41,A12,12,A32,A43,1158,A63,A73,3,A91,A101
