,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
14214,32,0.0,167106,0.0,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Hong,<=50K
23012,64,0.0,307786,0.0,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,<=50K
4984,27,0.0,194652,0.0,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
30559,27,0.0,141545,0.0,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,45,United-States,<=50K
10130,27,0.0,146460,0.0,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
13173,39,0.0,158962,0.0,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
31715,22,0.0,124942,0.0,10,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,<=50K
605,48,0.0,45612,0.0,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States,<=50K
15679,45,0.0,188823,0.0,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
24165,19,0.0,205830,0.0,9,Never-married,Other-service,Own-child,White,Female,0,0,40,El-Salvador,<=50K
6181,50,0.0,178530,0.0,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
16271,31,0.0,184306,0.0,11,Never-married,Transport-moving,Own-child,White,Male,0,1980,60,United-States,<=50K
31513,57,0.0,132704,0.0,14,Separated,Prof-specialty,Not-in-family,White,Male,10520,0,32,United-States,>50K
3676,44,0.0,100584,0.0,9,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
18780,26,0.0,142506,0.0,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,35,United-States,<=50K
13292,32,0.0,252752,0.0,14,Never-married,Exec-managerial,Not-in-family,White,Female,13550,0,60,United-States,>50K
20942,44,0.0,214415,0.0,10,Separated,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
18193,52,0.0,110748,0.0,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
5063,44,0.0,111067,0.0,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
7312,60,0.0,232769,0.0,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
11900,32,0.0,236543,0.0,8,Divorced,Protective-serv,Own-child,White,Male,0,0,54,Mexico,<=50K
20022,21,0.0,293968,0.0,10,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K
2800,47,0.0,168283,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
1726,55,0.0,199067,0.0,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
31537,23,0.0,161478,0.0,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
1632,40,0.0,345969,0.0,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
15067,51,0.0,74784,0.0,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23815,71,0.0,66624,0.0,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,>50K
32349,36,0.0,250807,0.0,7,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,40,United-States,<=50K
5739,20,0.0,329530,0.0,5,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,Mexico,<=50K
31767,19,0.0,183532,0.0,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K
22626,39,0.0,122032,0.0,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
5973,32,0.0,165226,0.0,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
20307,47,0.0,26145,0.0,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
8437,43,0.0,115323,0.0,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-States,>50K
32263,27,0.0,176761,0.0,9,Never-married,Craft-repair,Other-relative,Other,Male,0,0,40,Nicaragua,<=50K
6778,51,0.0,180807,0.0,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
22143,26,0.0,212798,0.0,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
19010,20,1.0,178517,0.0,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
10169,20,0.0,234880,0.0,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
5589,30,0.0,149184,0.0,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
2871,47,0.0,148995,0.0,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,>50K
15098,63,0.0,196994,0.0,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K
21116,34,0.0,226296,0.0,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
31916,18,0.0,218889,0.0,5,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
10761,33,0.0,191385,0.0,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Canada,<=50K
30639,47,0.0,168232,0.0,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
25168,21,0.0,75763,0.0,10,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
