,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
31890,46,0.0,128645,0.0,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
95,29,0.0,115585,0.0,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
11719,32,0.0,194981,0.0,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,<=50K
1991,26,0.0,236564,0.0,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
701,31,0.0,243605,0.0,13,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
22236,38,0.0,30916,0.0,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
22576,33,0.0,275369,0.0,4,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,35,Haiti,<=50K
17118,28,0.0,185127,0.0,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
7388,59,0.0,193895,0.0,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
14204,56,0.0,165881,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
21617,21,0.0,182614,0.0,10,Never-married,Sales,Other-relative,White,Female,0,0,40,Poland,<=50K
27460,28,0.0,163772,0.0,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K
1482,53,0.0,263925,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,>50K
11859,30,0.0,257874,0.0,13,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
12495,45,0.0,151627,0.0,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
29135,24,0.0,142528,0.0,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
32074,30,0.0,318749,0.0,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,Germany,<=50K
18774,30,0.0,158291,0.0,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
23748,43,0.0,183891,0.0,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
24236,37,0.0,49626,0.0,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,<=50K
14420,51,0.0,454063,0.0,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K
12618,44,0.0,162184,0.0,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
28273,28,1.0,183445,0.0,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,70,Puerto-Rico,<=50K
4251,43,0.0,243476,0.0,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
9103,66,0.0,174788,0.0,10,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
26852,39,0.0,393480,0.0,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26826,42,0.0,34278,0.0,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
23456,24,0.0,103277,0.0,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,<=50K
21904,42,0.0,280410,0.0,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Haiti,<=50K
1412,39,0.0,24342,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28488,30,0.0,167832,0.0,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
15131,53,1.0,167410,0.0,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
7934,43,0.0,972354,0.0,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,United-States,<=50K
27956,37,0.0,324947,0.0,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
9754,44,0.0,567788,0.0,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
7540,50,0.0,170562,0.0,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,<=50K
6912,31,0.0,236861,0.0,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
4362,20,0.0,246250,0.0,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
25477,43,0.0,403276,0.0,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
9423,24,0.0,285432,0.0,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
28902,42,0.0,29320,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
21192,52,0.0,145333,0.0,13,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
7309,38,0.0,33975,0.0,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,>50K
3326,32,0.0,43403,0.0,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,1590,54,United-States,<=50K
13624,23,0.0,203353,0.0,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
3873,34,0.0,137900,0.0,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
24637,23,0.0,481175,0.0,10,Never-married,Exec-managerial,Own-child,Other,Male,0,0,24,Peru,<=50K
